id,user.screen_name,ユーザフォロワー数,本文,時間,いいね,リツイート数,関連名詞
1.54E+18,M3_MThree,14,"今回の参院選は情勢全く追ってません。
以前前垢では地方選の議席配分を殆ど当てたこともありますが、今回は追う気が起きないのと、不確定要素が強すぎなのと、コロ関連情報のが面白いのと、、、
ゲームのイベ中",2022-06-30 13:57:26+00:00,0,0,"['今回', '参院', '選', '情勢', '以前', '垢', '地方', '選', '議席', '配分', 'こと', '今回', '気', 'の', '確定', '要素', 'の', 'コロ', '関連', '情報', 'の', 'の', 'ゲーム', 'イベ', '中']"
1.54E+18,voice_felice,3619,"今回の参院選の争点は
自民党
現状のまま消費税に頼っていく（つまり増税ありき）
or
野党
消費税には頼らない税制を構築する
でいいんじゃないかね",2022-06-30 13:56:54+00:00,0,0,"['今回', '参院', '選', '争点', '自民党', '現状', 'まま', '消費', '税', '増税', 'or', '野党', '消費', '税', '税制', '構築', 'ん']"
1.54E+18,amenokoyanenoko,17,"護憲派の悪あがき。
今回の参院選では会見勢力が分のを超えるのが見えている。
プロパガンダに惑わさることなく、改憲に議論を前に進めるべき。
 改憲したら戦前ですよ",2022-06-30 13:55:26+00:00,0,0,"['護憲', '派', '悪あがき', '今回', '参院', '選', '会見', '勢力', '分の', 'の', 'プロパガンダ', 'こと', '改憲', '議論', '前', '改憲', '戦前']"
1.54E+18,shimanamiryo,7263,自分の専門に近いところでの主張を前面に掲げ、参院選に立候補されている方がおられる。その主張自体には概ね賛同するのだが、①それは議員でないと実現できないことか、②ワン・イシューを理由に国政を託して良いか、踏ん切りがつかないでいる。,2022-06-30 13:54:49+00:00,1,0,"['自分', '専門', 'ところ', '主張', '前面', '参院', '選', '立候補', '方', '主張', '自体', '賛同', 'の', '①', 'それ', '議員', '実現', 'こと', '②', 'ワン・イシュー', '理由', '国政', '踏ん切り']"
1.54E+18,XhGpZ7KqE6YQNp2,127,"@QxnZmexKaCEBP @dexibara 自公を落とすより連立の解消が優先って確かにと思いました。
参院選終われば年間国政選挙ないって言われてますもんね、、政治の暴走は続くでしょう
僕は今回までは選挙権ないので次回からしっかり投票しますよ",2022-06-30 13:54:48+00:00,0,0,"['@', 'QxnZmexKaCEBP', '@', 'dexibara', '自公', '連立', '解消', '優先', '確か', '参院', '選', '年間', '国政', '選挙', 'もん', '政治', '暴走', '僕', '今回', '選挙', '権', '次回', '投票']"
1.54E+18,y_kame,230,"消費税減税や廃止と荒唐無稽な野党ばかりだが選挙後の増税をしないと言うマトモな党がない。
マシなロクデナシもいない参院選。
※選挙はロクデナシの中から「マシなロクデナシ」を選ぶ事byチャーチル。
※消費税％増税で兆円％なら兆円のあぶく銭
※万円給付の兆円は自民党が取り返す",2022-06-30 13:52:30+00:00,0,0,"['消費', '税', '減税', '廃止', '荒唐無稽', '野党', '選挙', '後', '増税', 'マトモ', '党', 'マシ', 'ロク', 'ナシ', '参院', '選', '選挙', 'ロク', 'ナシ', '中', 'マシ', 'ロク', 'ナシ', '事', 'by', 'チャーチル', '消費', '税', '％', '増税', '兆', '円', '％', '兆', '円', '銭', '万', '円', '給付', '兆', '円', '自民党']"
1.54E+18,junk_91tweet,178,"今も苦しんでる日本人がいるのに政府は助けてくれない。日本人が日本人で幸せになれなきゃ意味がない。日本人の当たり前の権利を主張するために参院選で意思表示！
日本第一党と共に日本を変えよう",2022-06-30 13:50:55+00:00,0,0,"['今', '日本人', '政府', '日本人', '日本人', '幸せ', '意味', '日本人', '当たり前', '権利', '主張', 'ため', '参院', '選', '意思', '表示', '日本', '一', '党', '日本']"
1.54E+18,noah1823,114,参院選後は再選可能エネルギー利権に群がる与党内再生可能エネルギー族議員と護る会議員の戦いがはじまるかも？。環境破壊の元凶太陽光発電にからんでいるのに環境大臣を経した人物いたなあ…。菅前総理もカーボンニュートラルと　安易に言い過ぎたのでは？。,2022-06-30 13:47:22+00:00,0,0,"['参院', '選', '後', '再選', '可能', 'エネルギー', '利権', '与党', '内', '再生', '可能', 'エネルギー', '族', '議員', '会議', '員', '戦い', '環境', '破壊', '元凶', '太陽光', '発電', '環境', '大臣', '経', '人物', '菅', '総理', 'カーボンニュートラル', '安易', 'の']"
1.54E+18,glowinguzma,299,むしろ「参院選までは絶対になにもしないぞ宣言」だと思ってたワ,2022-06-30 13:46:49+00:00,0,0,"['参院', '選', '絶対', 'なに', '宣言']"
1.54E+18,ritomarusu,1180,@earthfulness @kakokako 資金の原資が怪しすぎる政党。名簿登載者数×万円名　　万円×名　参政党☆参院選立候補者名　どこから支援を受けているのか,2022-06-30 13:46:41+00:00,0,0,"['@', 'earthfulness', '@', 'kakokako', '資金', '原資', '政党', '名簿', '登載', '者', '数', '万', '円', '名', '万', '円', '名', '参政', '党', '参院', '選', '立候補者', '名', 'どこ', '支援', 'の']"
1.54E+18,venus_marius,614,"改憲したら戦前ですよ
人権を制限し、自由な発言が出来なくなります。
参院選後は年間選挙がない。未来を変える選挙にしよう。",2022-06-30 13:46:24+00:00,1,0,"['改憲', '戦前', '人権', '制限', '自由', '発言', '参院', '選', '後', '年間', '選挙', '未来', '選挙']"
1.54E+18,gambetta2011,750,"やっぱしこれは、生稲晃子が蓮舫に勝っちゃう奴かなあ。。。
なんか当日みたくねえなあ。。。
もう参院選の開票日なんて一生こなきゃいいのに
いっそのこと中止とか無いの？",2022-06-30 13:43:36+00:00,1,0,"['これ', '生稲', '晃子', '蓮', '舫', '奴', '当日', '参院', '選', '開票', '日', '一生', 'こと', '中止']"
1.54E+18,Vi8X5,2,参院選の演説。うーん減税したら経済が良くなると本気で考えてる議員がいたら、すぐ辞職するべきしかし、自民党は相変わらず芸能人が好きね議席じゃなく国民の生活考えてますか？足りない頭でも四年先くらいは構想して欲しいわ～参議院を無くす方が減税より効果ありね？考えてる？,2022-06-30 13:41:18+00:00,0,0,"['参院', '選', '演説', '減税', '経済', '本気', '議員', '辞職', '', '自民党', '芸能人', '好き', '議席', '国民', '生活', '頭', '四', '年', '先', '構想', '～', '参議院', '方', '減税', '効果', '']"
1.54E+18,kkoga7,437,"@naratouma そうですよね・・・
陽性者数だけで物事を測る時期は
とっくに過ぎたと思います。
コロナ患者の扱いそのものを
変える動きをしないといけないのに
岸田政権では出来ないでしょうね。
自分は参院選で
微力ながら岸田にNoを突き付けたいと思います。",2022-06-30 13:41:06+00:00,0,0,"['@', 'naratouma', '陽性', '者', '数', '物事', '時期', 'コロナ', '患者', '扱い', 'そのもの', '動き', '岸田', '政権', '自分', '参院', '選', '微力', '岸田', 'No']"
1.54E+18,Amano_lwa_Fune,1125,"新聞に掲載されていた参院選党の公約要旨を見比べてみた。
案の定、立憲、社民、れいわ、共産に共感を得られる部分が多かったが、意外にも公明の主張も良いと思った。
なぜ公明は自民と組んでいるのか",2022-06-30 13:40:54+00:00,0,0,"['新聞', '掲載', '参院', '選', '党', '公約', '要旨', '立憲', '社民', 'れい', '共産', '共感', '部分', '意外', '公明', '主張', '公明', '自民', 'の', '']"
1.54E+18,Hajimen_1013,239,参院選はSDGsとかいう先進国の偽善キャンペーンに目を眩ませ本質から目を逸らす政党には票を入れたくないですねぇ,2022-06-30 13:40:11+00:00,0,0,"['参院', '選', 'SDGs', '先進', '国', '偽善', 'キャンペーン', '目', '本質', '目', '政党', '票']"
1.54E+18,LpapillonE,216,"改憲したら戦前ですよ
今回の参院選で改憲勢力の
自民公明維新国民民主に
分の議席を与えてしまえば改憲されてしまう。衆議院では既にそうです。なので何度もツイデモしています。投票先を間違わないで。棄権をしないで。戦争をする国に生きたいですか？",2022-06-30 13:40:08+00:00,0,1,"['改憲', '戦前', '今回', '参院', '選', '改憲', '勢力', '自民', '公明', '維新', '国民', '民主', '分', '議席', '改憲', '衆議院', '何', '度', 'ツイ', 'デモ', '投票', '先', '棄権', '戦争', '国']"
